epoch,AP_hand,loss,lr,mAP,validation_loss
1,nan,291.8363,4.2624997e-06,nan,nan
2,nan,197.11708,8.425e-06,nan,nan
3,nan,190.97005,1.2587499e-05,nan,nan
4,nan,206.56114,1.6749998e-05,nan,nan
5,nan,247.7113,2.09125e-05,nan,nan
6,nan,234.51996,2.5074998e-05,nan,nan
7,nan,198.33188,2.9237499e-05,nan,nan
8,nan,242.16537,3.3399996e-05,nan,nan
9,nan,220.03363,3.75625e-05,nan,nan
10,0.5955015458224551,147.33455,4.1724998e-05,0.5955015458224551,151.38780721028647
11,nan,187.31133,4.5887497e-05,nan,nan
12,nan,155.19753,5.0049995e-05,nan,nan
13,nan,161.75569,5.4212498e-05,nan,nan
14,nan,101.1805,5.8374997e-05,nan,nan
15,nan,179.87141,6.2537496e-05,nan,nan
16,nan,145.59692,6.67e-05,nan,nan
17,nan,155.43115,7.0862494e-05,nan,nan
18,nan,142.5765,7.5025e-05,nan,nan
19,nan,127.420494,7.918749e-05,nan,nan
20,0.554153675971245,145.26335,8.3349994e-05,0.554153675971245,82.22144826253255
21,nan,86.310776,8.75125e-05,nan,nan
22,nan,128.7791,9.167499e-05,nan,nan
23,nan,132.81616,9.5837495e-05,nan,nan
24,nan,92.85127,9.999999e-05,nan,nan
25,nan,79.11704,9.9961486e-05,nan,nan
26,nan,79.55544,9.984602e-05,nan,nan
27,nan,61.44088,9.9653764e-05,nan,nan
28,nan,74.84231,9.938503e-05,nan,nan
29,nan,72.89398,9.9040226e-05,nan,nan
30,0.5630118937310136,80.219444,9.861987e-05,0.5630118937310136,59.10485967000326
31,nan,79.34239,9.8124634e-05,nan,nan
32,nan,81.026886,9.755527e-05,nan,nan
33,nan,79.77477,9.6912656e-05,nan,nan
34,nan,72.08422,9.619778e-05,nan,nan
35,nan,57.12998,9.541175e-05,nan,nan
36,nan,59.144226,9.455578e-05,nan,nan
37,nan,74.69412,9.363118e-05,nan,nan
38,nan,51.687965,9.263938e-05,nan,nan
39,nan,55.642506,9.1581904e-05,nan,nan
40,0.08758478502819537,53.40593,9.0460395e-05,0.08758478502819537,51.91213862101237
41,nan,60.52982,8.927658e-05,nan,nan
42,nan,60.303547,8.803228e-05,nan,nan
43,nan,50.312977,8.672941e-05,nan,nan
44,nan,65.00156,8.536998e-05,nan,nan
45,nan,59.302948,8.3956096e-05,nan,nan
46,nan,55.92106,8.248993e-05,nan,nan
47,nan,61.14676,8.097374e-05,nan,nan
48,nan,53.352432,7.9409874e-05,nan,nan
49,nan,55.154156,7.780073e-05,nan,nan
50,0.6983820892911802,58.230526,7.6148805e-05,0.6983820892911802,33.816664377848305
51,nan,51.11602,7.445663e-05,nan,nan
52,nan,48.554714,7.272683e-05,nan,nan
53,nan,52.11865,7.096205e-05,nan,nan
54,nan,45.47075,6.9165035e-05,nan,nan
55,nan,51.303593,6.7338544e-05,nan,nan
56,nan,43.704205,6.54854e-05,nan,nan
57,nan,38.120564,6.360845e-05,nan,nan
58,nan,38.623764,6.17106e-05,nan,nan
59,nan,39.978046,5.9794762e-05,nan,nan
60,0.7746846574082347,36.490856,5.78639e-05,0.7746846574082347,25.14470100402832
61,nan,37.211193,5.5920995e-05,nan,nan
62,nan,37.450127,5.3969034e-05,nan,nan
63,nan,35.423027,5.201103e-05,nan,nan
64,nan,37.135063,5.005e-05,nan,nan
65,nan,33.72469,4.8088972e-05,nan,nan
66,nan,36.04795,4.613097e-05,nan,nan
67,nan,40.762436,4.4179007e-05,nan,nan
68,nan,48.828747,4.22361e-05,nan,nan
69,nan,41.774513,4.030524e-05,nan,nan
70,0.7619280144202036,42.22604,3.8389404e-05,0.7619280144202036,26.49772834777832
71,nan,38.60814,3.649155e-05,nan,nan
72,nan,37.615925,3.46146e-05,nan,nan
73,nan,37.524082,3.2761454e-05,nan,nan
74,nan,43.9247,3.0934963e-05,nan,nan
75,nan,39.07426,2.9137947e-05,nan,nan
76,nan,38.14933,2.7373175e-05,nan,nan
77,nan,36.010498,2.564337e-05,nan,nan
78,nan,36.901436,2.3951197e-05,nan,nan
79,nan,38.88781,2.2299268e-05,nan,nan
80,0.808869920859736,33.599503,2.0690128e-05,0.808869920859736,21.623334248860676
